Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"KLSNVJ807749294","AVANCE - Dallas","2060 Singleton Blvd., Ste. 103","","","","","Dallas, TX 75212-3871 USA","Dallas","TX","75212-3871","United States","214","(214)887-9907","","","","http://www.avance-dallas.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Anne Thomas","","","",""
"PEHVZL344456363","AVANCE - Rio Grande Valley, Texas","811 Bowie Ave.","","","","","Alamo, TX 78516 USA","Alamo","TX","78516","United States","956","(956)354-2130","","(956)223-2558","","http://www.avance.org/rgv","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Monica Pena","","","",""
"YQIEGO495387821","AVANCE - San Antonio","118 N Medina St., 3rd Fl.","","","","","San Antonio, TX 78207-3048 USA","San Antonio","TX","78207-3048","United States","210","(210)220-1788","","(210)220-3795","","http://www.avancesa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Rebecca Cervantez","","","",""
"GIQIOB218058203","Back On My Feet Austin","PO Box 42439","","","","","Austin, TX 78704-0041 USA","Austin","TX","78704-0041","United States","512","(512)496-0542","","","","http://austin.backonmyfeet.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Running; Social Work","4; 07","South Central and Great Plains States; Social Welfare Organizations","Melissa Nicewarner Daly","","","",""
"KMHCQC376398912","Bacliff-San Leon Bayside Lions Club","4438 Boulevard St.","","","","","Bacliff, TX 77518 USA","Bacliff","TX","77518","United States","","","","","","http://www.district2s4lions.org","8641","Civic and Social Associations","","","","","","16","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Jerry Janak","","","",""
"GZBEBY131320007","Baird Chamber of Commerce (BCC)","100 Market St.","","","","","Baird, TX 79504 USA","Baird","TX","79504","United States","325","(325)854-2003","","","bairdchamber@yahoo.com","http://www.bairdchamber.com","8611","Business Associations","","","1960","1","","135","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","","","","",""
"HZKKXP826981500","Balcones Forge","c/o Rudy L. Billings, Treasurer","12302 Indian Mound","","","","Austin, TX 78758 USA","Austin","TX","78758","United States","512","(512)609-9724","","","","http://www.balconesforge.org","8621","Professional Organizations","","","2002","","","100","None Reported","None Reported","","None Reported","","","","None Reported","","","Blacksmiths","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Jerry Achterberg","","","",""
"FGMPSW138564397","Ballinger Chamber of Commerce","PO Box 577","","","","","Ballinger, TX 76821 USA","Ballinger","TX","76821","United States","325","(325)365-2333","","(325)365-3445","ballingerareachamber@aol.com","http://ballinger-tx.com/chamber-of-commerce/welcome-from-the-chamber-of-commerce/","8611","Business Associations","","","","2","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Tammie Virden","","","",""
"UVNHWX848875658","Ballinger Noon Lions Club","c/o Lanada Driskell, Secretary","1106 Park Ave.","","","","Ballinger, TX 76821 USA","Ballinger","TX","76821","United States","325","(325)365-5636","","","","http://www.txlionsdistrict2a1.com","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Buddy Moore","","","",""
"MNSLRC457740472","Bandera County Convention and Visitors Bureau","126 State Highway 16 S","","","","","Bandera, TX 78003 USA","Bandera","TX","78003","United States","","","800-364-3833","","cowpoke@banderacowboycapital.com","http://www.banderacowboycapital.com","7389","Business Services Nec","8748","Business Consulting Services Nec","","3","107000","","None Reported","None Reported","","None Reported","","","","None Reported","","","Business","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Patricia Moore","","","",""
"ADUQRM464497370","Barton Springs/Edwards Aquifer Conservation District (BSEACD)","1124 Regal Row","","","","","Austin, TX 78748 USA","Austin","TX","78748","United States","512","(512)282-8441","","(512)282-7016","bseacd@bseacd.org","http://www.bseacd.org","8641","Civic and Social Associations","","","1987","9","1500000","","None Reported","Yes","Award; Scholarship","Yes","Newsletter","3/year","No","None Reported","","","Conservation","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Kirk Holland, PG","","","",""
"DMQWTG897708649","Bay Area Alliance for Youth and Families","2145 W NASA Blvd.","","","","","Webster, TX 77598 USA","Webster","TX","77598","United States","281","(281)284-0370","","(281)284-9953","","http://www.ccisd.net/departments/student-personnel-services/bay-area-alliance","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4; 07","South Central and Great Plains States; Social Welfare Organizations","Amanda McLauchlin","","","",""
"MUHLXO423128459","Bay Area Municipal Inspectors Association","c/o Lawrence Crow, CBO, Manager","PO Box 152288","","","","Irving, TX 75015-2288 USA","Irving","TX","75015-2288","United States","972","(972)721-4875","","(972)721-2481","","http://www.boatx.org/Chapters.html","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Codes","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Lawrence Crow","","","",""
"XHEJLT536453709","Bay Area Whip Dance Club (BAWDC)","PO Box 2751","","","","","League City, TX 77574-2751 USA","League City","TX","77574-2751","United States","832","(832)865-8014; (281)480-6502","","","","http://www.bawdc.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Dance","4; 06","South Central and Great Plains States; Cultural Organizations","Cara Coker","","","",""
"UCLBPE585593580","Bay City Lions Club - Texas","PO Box 867","","","","","Bay City, TX 77404-0867 USA","Bay City","TX","77404-0867","United States","","","","","info@baycitylions.org","http://www.baycitylions.com","8641","Civic and Social Associations","","","1950","","","132","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Jim Humphries","","","",""
"EMYXDA975105789","Bayou Preservation Association (BPA)","2990 Richmond Ave., Ste. 500","","","","","Houston, TX 77219-1563 USA","Houston","TX","77219-1563","United States","713","(713)529-6443","","(713)529-6481","bpa@bayoupreservation.org","http://www.bayoupreservation.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Conservation","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Katharine Lord","","","",""
"XGYROA053332230","Baytown Lions Club","c/o Carol Leskovjan, Secretary","801 Rose Wood Dr.","","","","Baytown, TX 77520-2559 USA","Baytown","TX","77520-2559","United States","281","(281)427-4754","","","","http://www.lions2s2.org/BAYTOWN.html","8641","Civic and Social Associations","","","1928","","","60","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Joe Wilson","","","",""
"YUDJDB579027962","Beaumont Music Teachers Association","c/o Betsy Hines, President","2145 Chevy Chase Ln.","","","","Beaumont, TX 77706 USA","Beaumont","TX","77706","United States","","","","","","http://tx.mtna.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 05","South Central and Great Plains States; Educational Organizations","Betsy Hines","","","",""
"TWXIJU555901422","Bee County Board of Realtors","c/o Jesus Mendoza, President","1502 NE Washington","","","","Beeville, TX 78102 USA","Beeville","TX","78102","United States","361","(361)358-2104","","","","http://www.beecountyrealtors.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Real Estate","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Jesus Mendoza","","","",""
"SJXOHI017267636","Bellaire Area Mothers of Multiples (BAMOM)","PO Box 1747","","","","","Bellaire, TX 77402-1747 USA","Bellaire","TX","77402-1747","United States","","","","","president@bellairemoms.org","http://www.bellairemoms.org","8699","Membership Organizations Nec","","","1992","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Multiple Birth","4","South Central and Great Plains States","","","","",""
"TYTSWV470484261","Belton Lions Club","PO Box 2083","","","","","Belton, TX 76513 USA","Belton","TX","76513","United States","","","","","","http://www.beltonlionsclub.com","8641","Civic and Social Associations","","","","","","","None Reported","Yes","Scholarship","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Dr. Michael J. Reyes","","","",""
"XOZNJK965061167","Ben Hur Shriners","7811 Rockwood Ln.","","","","","Austin, TX 78757 USA","Austin","TX","78757","United States","512","(512)480-0812","","(512)479-4060","","http://www.benhurshrine.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Health","4; 10","South Central and Great Plains States; Fraternal, Nationality, and Ethnic Organizations","Ed Whitmore","","","",""
"MVSJWD844960225","Better Business Bureau","425 Soledad St., Ste. 500","","","","","San Antonio, TX 78205 USA","San Antonio","TX","78205","United States","210","(210)828-9441","","(210)828-3101","info@sanantonio.bbb.org","http://www.bbb.org/central-texas","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Dean Taylor","","","",""
"QFKSAM529769933","Better Business Bureau of Abilene","3300 S 14th St., Ste. 307","","","","","Abilene, TX 79605-5052 USA","Abilene","TX","79605-5052","United States","325","(325)691-1533","","(325)691-0309","info@abilene.bbb.org","http://www.bbb.org/bbb-locator/LocationResult/?Address_State=Texas,TX%26amp;strType=branch","5961","Catalog and Mail-Order Houses","","","","3","130000","","None Reported","Yes","Recognition","Yes","Newsletter; Magazine","monthly; annual","No","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","","","","",""
"RXYIOI903052530","Better Business Bureau of Brazos Valley and Deep East Texas","418 Tarrow","","","","","College Station, TX 77840-1822 USA","College Station","TX","77840-1822","United States","979","(979)260-2222","800-392-3798","(979)846-0276","info@bbbbryan.org","http://www.bbb.org/bryan","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Bill Mcguire","","","",""
"KEBQEB998369262","Better Business Bureau of Central and South Central Texas","200 W Highway 6, Ste. 225","","","","","Waco, TX 76712 USA","Waco","TX","76712","United States","254","(254)755-7772","","(254)751-1929","info@centraltx.bbb.org","http://www.bbb.org/central-texas","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Education","4; 09","South Central and Great Plains States; Public Affairs Organizations","Adam Price","","","",""
"LMAHDR632021725","Better Business Bureau of Central East Texas","3600 Old Bullard Rd., Bldg. 1","","","","","Tyler, TX 75701 USA","Tyler","TX","75701","United States","903","(903)581-5704","800-443-0131","(903)534-8644","info@easttexas.bbb.org","http://www.bbb.org/east-texas","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Mechele Agbayani Mills, CEO","","","",""
"TAOAFW988287096","Better Business Bureau of Metropolitan Dallas and Northeast Texas","1601 Elm St., Ste. 3838","","","","","Dallas, TX 75201-4744 USA","Dallas","TX","75201-4744","United States","214","(214)220-2000","800-705-3994","(214)740-0321","info@dallas.bbb.org","http://www.bbb.org/dallas","8611","Business Associations","8322","Individual and Family Services","1920","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Jay Newman, CEO","","","",""
"ZRMQKS688807199","Better Business Bureau of Southeast Texas","550 Fannin, Ste. 100","","","","","Beaumont, TX 77701 USA","Beaumont","TX","77701","United States","409","(409)835-5348","800-658-7650","(409)838-6858","info@bbbsetexas.org","http://www.bbb.org/southeast-texas","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","John Paschall, President","","","",""
"DVOGZG784866783","Better Business Bureau of South Texas","502 E Expy. 83, Ste. C","","","","","Weslaco, TX 78596 USA","Weslaco","TX","78596","United States","956","(956)968-3678","","(956)968-7638","","http://www.bbb.org/houston","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Dolores Salinas","","","",""
"OPVSHA153012667","Better Business Bureau Serving Central, Coastal, Southwest Texas & Permian Basin - Austin Office","1005 La Posada Dr.","","","","","Austin, TX 78752 USA","Austin","TX","78752","United States","512","(512)445-2911","","(512)445-2096","info@austin.bbb.org","http://www.bbb.org/central-texas","8611","Business Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Consumers","4; 09","South Central and Great Plains States; Public Affairs Organizations","Carrie A. Hurt, CEO","","","",""
"KTZTJU266463574","Bexar Audubon Society (BAS)","PO Box 6084","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","","","","","bexaraudubon@bexaraudubon.org","http://www.bexaraudubon.org","8699","Membership Organizations Nec","8399","Social Services Nec","","","","","None Reported","None Reported","","Yes","Newsletter","bimonthly","No","None Reported","","","Conservation","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Greg Pasztor","","","",""
"MUJWAI208974824","Big Bend Natural History Association (BBNHA)","PO Box 196","","","","","Big Bend National Park, TX 79834 USA","Big Bend National Park","TX","79834","United States","432","(432)477-2236","","(432)477-2234","info@bigbendbookstore.org","http://www.bigbendbookstore.org","8621","Professional Organizations","9512","Land, Mineral and Wildlife Conservation","1956","4","500000","550","None Reported","None Reported","","Yes","Newsletter","3/year","No","Yes","meetings","None Reported","Natural Sciences","4","South Central and Great Plains States","Mike Boren","","","",""
"KJPHLO243849308","Big Bend Small Business Development Center","Centennial School Bldg.","500 West Ave. H","","","","Alpine, TX 79830-6001 USA","Alpine","TX","79830-6001","United States","432","(432)837-8694","","(432)837-8104","","http://sbdc.sulross.edu","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Small Business","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Patricia Long","","","",""
"TFQGYP523899342","Big Brothers Big Sisters Abilene","547 Chesnut","","","","","Abilene, TX 79602 USA","Abilene","TX","79602","United States","325","(325)677-7839","","(325)677-7830","webmaster@bbbstx.org","http://www.bbbstx.org/site/c.bkLVI9NKIdJ2G/b.6428059/k.5536/We8217re_here_to_help.htm","8641","Civic and Social Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Children","4; 07","South Central and Great Plains States; Social Welfare Organizations","Luke Longhofer","","","",""
"OLVUJR369371263","Big Brothers Big Sisters of Greater Houston","6437 High Star","","","","","Houston, TX 77074 USA","Houston","TX","77074","United States","713","(713)271-5683","","(713)271-0587","","http://www.bbbstx.org","8699","Membership Organizations Nec","","","1952","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Children","4; 07","South Central and Great Plains States; Social Welfare Organizations","Rob Roby","","","",""
"IEZWPR316551329","Big Brothers Big Sisters of Midland Texas","714 W Louisiana","","","","","Midland, TX 79701 USA","Midland","TX","79701","United States","432","(432)687-0195","","(432)687-0198","","http://www.bbbsmidland.org/?page_id=1731","8641","Civic and Social Associations","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Children","4; 07","South Central and Great Plains States; Social Welfare Organizations","Kay Crites","","","",""
"CMMEDU244509023","Big Country Audubon Society (BCAS)","PO Box 569","","","","","Abilene, TX 79604 USA","Abilene","TX","79604","United States","","","","","","http://www.bigcountryaudubon.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Conservation","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Jay Packer","","","",""
"GIOZVB708040393","Big Country Home Builders Association","4398 Crawford Dr.","","","","","Abilene, TX 79602 USA","Abilene","TX","79602","United States","325","(325)698-4232","","","","http://bigcountryhomebuilders.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Industries; Housing","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Wesley Stockard","","","",""
"IOEXFF712107871","Big Country Immunization Coalition","c/o Leslie Gardner","4002 Loop 322","","","","Abilene, TX 79602 USA","Abilene","TX","79602","United States","325","(325)793-4305","","(325)793-4234","leslie_gardner@bcbstx.com","http://www.immunize.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Immunology","4","South Central and Great Plains States","Leslie Gardner","","","",""
"HDSFWQ352192648","Big Lake Chamber of Commerce","120 N Main St.","","","","","Big Lake, TX 76932 USA","Big Lake","TX","76932","United States","325","(325)884-2980","","(325)884-1416","blcoc@verizon.net","http://biglaketexas.org/articles/view/big-lake-chamber-of-commerce","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Loretta Epperson","","","",""
"YKPACD189017320","Biofeedback Society of Texas (BST)","507 Creek Run Cir.","","","","","Salado, TX 76571 USA","Salado","TX","76571","United States","512","(512)921-3992","","","office@bstx.org","http://www.bstx.org","8621","Professional Organizations","","","1976","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Biofeedback","4; 08","South Central and Great Plains States; Health and Medical Organizations","Tenley Fukui, LPC","","","",""
"IZVYKD326477657","Bishop, Texas Chamber of Commerce","213 E Main St.","","","","","Bishop, TX 78343 USA","Bishop","TX","78343","United States","361","(361)584-2214","","","info@bishoptx.com","http://www.bishoptx.com","8611","Business Associations","","","","","","","None Reported","Yes","Recognition","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","","","","",""
"QZKUJL161803181","Black Citizens for Justice Law and Order (BCJLO)","PO Box 180042","","","","","Dallas, TX 75218-0042 USA","Dallas","TX","75218-0042","United States","214","(214)328-3722","","(214)328-3722","","http://www.bcjlo.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Law","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Daisy E. Joe, Coord.","","","",""
"ZGUUUO155864278","Black Nurses Association of Greater Houston (BNAGH)","PO Box 20591","","","","","Houston, TX 77225-0591 USA","Houston","TX","77225-0591","United States","832","(832)630-1111","","(713)956-1885","","http://bnagh.nursingnetwork.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Nursing","4; 08","South Central and Great Plains States; Health and Medical Organizations","Sadie Newman","","","",""
"VCMPTR507235015","Black Police Association of Greater Dallas","211 Centre St.","","","","","Dallas, TX 75208 USA","Dallas","TX","75208","United States","","","","(214)421-8408","","http://bpadallas.org","8621","Professional Organizations","","","1975","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Law Enforcement","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Cletus Judge","","","",""
"ARBUYT123685021","Blacks In Government - Dallas Metroplex Chapter","PO Box 223583","","","","","Dallas, TX 75222-3583 USA","Dallas","TX","75222-3583","United States","","","","","dallas.metroplex@bignet.org","http://www.bignet.org/regional/dallas-metroplex/officers.htm","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Civil Service","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Dr. Kenneth E. Francis","","","",""
"LCDWSH194065085","Blepharospasm Support Group - Houston Area","c/o Nelson Baez, Representative","19914 Black Cherry Bend Ct.","","","","Cypress, TX 77433 USA","Cypress","TX","77433","United States","832","(832)865-8463","","","","http://www.blepharospasm.org/blepharospasm-support-groups-usa.html#tx","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Neurological Disorders","4; 08","South Central and Great Plains States; Health and Medical Organizations","Nelson Baez","","","",""
"LUFNIY903067007","Blepharospasm Support Group - Texas","c/o Zoe Smith-Fallgren, Coordinator","426 Sampson","","","","Kyle, TX 78640-4325 USA","Kyle","TX","78640-4325","United States","512","(512)809-2677","","","","http://www.blepharospasm.org/blepharospasm-support-groups-usa.html#tx","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Neurological Disorders","4; 08","South Central and Great Plains States; Health and Medical Organizations","Zoe Smith-Fallgren","","","",""
"CXQJST331628937","Blue Bird Auxiliary","PO Box 29600","","","","","San Antonio, TX 78229 USA","San Antonio","TX","78229","United States","210","(210)575-4519","","(210)575-6350","info@sabluebird.org","http://www.sabluebird.org","8699","Membership Organizations Nec","","","1960","","","600","None Reported","None Reported","","None Reported","","","","None Reported","","","Health Services","4; 08","South Central and Great Plains States; Health and Medical Organizations","Ken Floyd","","","",""
"EJHHLR844215785","Bluebonnet Arabian Horse Club","c/o Ellen Flowers","PO Box 82","","","","Italy, TX 76651 USA","Italy","TX","76651","United States","972","(972)948-1515","","","","http://region9aha.org/Clubs.html","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Horses","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Ellen Flowers","","","",""
"IZQEEQ583942561","Bluebonnet Counseling Association (BCA)","1204 San Antonio St., Ste. 201","","","","","Austin, TX 78701 USA","Austin","TX","78701","United States","512","(512)472-3403","800-580-8144","(512)472-3756","bca_officers@yahoo.com","http://www.txca.org/tca/BCA.asp","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Counseling","4; 07","South Central and Great Plains States; Social Welfare Organizations","Layla Nations","","","",""
"GUFRGF578164048","Bluebonnet Pest Control Association","6405 Walnut Springs Dr.","","","","","Arlington, TX 76001 USA","Arlington","TX","76001","United States","817","(817)401-6958","","","office@bluebonnetpest.com","http://www.bluebonnetpest.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Pest Control","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","","","","",""
"JYUQRV608844485","Bluebonnet Resource Conservation and Development Area","10 N Caddo St., No. 119","","","","","Cleburne, TX 76031 USA","Cleburne","TX","76031","United States","817","(817)645-0961","","(817)645-0926","","http://bluebonnetrcd.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Conservation","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Julie Winchell","","","",""
"VXFADD499815426","Blue Knights Texas III","10232 Bridget","","","","","El Paso, TX 79924 USA","El Paso","TX","79924","United States","","","","","president@bktx3.org","http://www.bkswc.org/tx.htm","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Motorcycle","4","South Central and Great Plains States","","","","",""
"ETFAVG012949380","Blue Knights Texas XLII","PO Box 1657","","","","","Olmito, TX 78575 USA","Olmito","TX","78575","United States","","","","","lamigra15@yahoo.com","http://www.blueknightstx42.org","8699","Membership Organizations Nec","","","2009","","","32","None Reported","None Reported","","None Reported","","","","None Reported","","","Motorcycle","4","South Central and Great Plains States","Gilberto R Losoya, Jr.","","","",""
"DDDAQZ183999401","Blue Knights Texas XXIX","PO Box 6781","","","","","Texarkana, TX 75505 USA","Texarkana","TX","75505","United States","903","(903)276-1325","","","duckmcalister@aol.com","http://www.blueknightstexasxxix.webs.com","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Motorcycle","4","South Central and Great Plains States","Chris McAlister","","","",""
"JXCHUQ639415420","Blue Star Mothers of America - Heart of Texas Chapter","c/o Patty Reneau, President","PO Box 24258","","","","Waco, TX 76702 USA","Waco","TX","76702","United States","254","(254)495-1959","","","bluestarmotherstx12@gmail.com","http://www.bluestarmothers.org/index.php?option=com_content%26amp;view=article%26amp;id=92","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Military Families","4; 12","South Central and Great Plains States; Veterans', Hereditary, and Patriotic Organizations","Patty Reneau","","","",""
"QRVGEE916914218","Blue Star Mothers of America - San Antonio, Texas Chapter","c/o Edna E. Carranza, President","323 San Juan Rd.","","","","San Antonio, TX 78223-4354 USA","San Antonio","TX","78223-4354","United States","210","(210)865-3707","","","","http://www.bluestarmothers.org/index.php?option=com_content%26amp;view=article%26amp;id=92","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Military Families","4; 12","South Central and Great Plains States; Veterans', Hereditary, and Patriotic Organizations","Edna E. Carranza","","","",""
"XMRTPI781781039","BMW Car Club of America - Houston Chapter","PO Box 56763","","","","","Houston, TX 77256-6763 USA","Houston","TX","77256-6763","United States","","","","","president@houston-bmwcca.com","http://www.houston-bmwcca.com","8699","Membership Organizations Nec","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Automobile","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Dennis Nowak","","","",""
"VHCZSP093671958","BMW Car Club of America - Tejas Chapter","PO Box 17216","","","","","Austin, TX 78760 USA","Austin","TX","78760","United States","","","","","tejaschapter@aol.com","http://www.tejaschapter.org","8699","Membership Organizations Nec","8322","Individual and Family Services","","","","900","None Reported","None Reported","","None Reported","","","","None Reported","","","Automobile","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Glenn McConnell","","","",""
"WXHESM279588121","Boating Trades Association of Texas","823 Congress Ave., Ste. 230","","","","","Austin, TX 78701 USA","Austin","TX","78701","United States","512","(512)479-0425; (512)328-8632","","(512)495-9031","","http://www.btatx.com","8621","Professional Organizations","3732","Boat Building and Repairing","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Boating; Water Sports; Water","4","South Central and Great Plains States","Rick Smith","","","",""
"KEWRSQ076625798","Bonham Area Chamber of Commerce and Economic Development (BACC)","327 N Main St.","","","","","Bonham, TX 75418 USA","Bonham","TX","75418","United States","903","(903)583-4811","","(903)583-7972","bonhamchamber@cableone.net","http://www.fannincountytexas.com/bonham-chamber-of-commerce.html","8611","Business Associations","","","1929","2","","","None Reported","None Reported","","Yes","Newsletter; Magazine","monthly; annual","Yes","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Dale McQueen","","","",""
